cause	type	doc_id	category	trick	checksum	residual	text
case	ADDRESS	agency_0003__m2718_case	adversarial	mut:case		LEAK	новосибирск  мира 18
case	ADDRESS	agency_0008__m2718_case	adversarial	mut:case		LEAK	ростов-на-дону  садовая 33
case	ADDRESS	agency_0009__m2718_case	adversarial	mut:case		LEAK	МОСКВА ЛЕНИНА 47/3 КВ 67
case	ADDRESS	agency_0009__m2718_case	adversarial	mut:case		LEAK	новосибирск лесная 34/4 кв 83
case	ADDRESS	agency_0009__m2718_case	adversarial	mut:case		LEAK	самара победы 82/4 кв 79
case	ADDRESS	labor_0006__m1337_case	adversarial	mut:case		LEAK	ПЕРМЬ, ПРОФСОЮЗНАЯ 24
case	ADDRESS	labor_0006__m1337_case	adversarial	mut:case		LEAK	тВеРь, ПоЛеВаЯ 21
case	ADDRESS	loan_0009__m2718_case	adversarial	mut:case		LEAK	нОвОсИбИрСк  ПуШкИнА 37
case	ADDRESS	sale_0005__m2718_case	adversarial	mut:case		LEAK	КРАСНОГОРСК  ТВЕРСКАЯ 24
case	ADDRESS	services_0012__m2718_case	adversarial	mut:case		LEAK	ТВЕРЬ, ГАГАРИНА 25
case	ADDRESS	works_0009__m2718_case	adversarial	mut:case		LEAK	красногорск  гагарина 74
case	ADDRESS	works_0012__m1337_case	adversarial	mut:case		LEAK	САМАРА ЗАРЕЧНАЯ 34/3 КВ 2
case	ORG	agency_0003__m2718_case	adversarial	mut:case		LEAK	ооо ромашка-плюс
case	ORG	cession_0005__m2718_case	adversarial	mut:case		LEAK	ао «завод им. в.а. дегтярёва»
case	ORG	labor_0006__m1337_case	adversarial	mut:case		LEAK	ооо "ромашка"
case	ORG	labor_0009__m2718_case	adversarial	mut:case		LEAK	ооо «соколов»
case	ORG	labor_0009__m2718_case	adversarial	mut:case		LEAK	ооо «соколов»
case	ORG	lease_0003__m2718_case	adversarial	mut:case		LEAK	пао «ромашка-плюс»
case	ORG	lease_0009__m2718_case	adversarial	mut:case		LEAK	ооо «стройинвест»
case	ORG	loan_0003__m2718_case	adversarial	mut:case		LEAK	ооо «северный ветер»
case	ORG	loan_0009__m2718_case	adversarial	mut:case		LEAK	ооо «меридиан»
case	ORG	loan_0009__m2718_case	adversarial	mut:case		LEAK	ооо меридиан
case	ORG	sale_0005__m2718_case	adversarial	mut:case		LEAK	оОо гРаНиТ
case	ORG	sale_0011__m2718_case	adversarial	mut:case		LEAK	ооо «медведев»
case	ORG	sale_0011__m2718_case	adversarial	mut:case		LEAK	ооо «медведев»
case	ORG	services_0003__m2718_case	adversarial	mut:case		LEAK	пао «вектор»
case	ORG	services_0003__m2718_case	adversarial	mut:case		LEAK	пао «ромашка-плюс»
case	ORG	supply_0007__m2718_case	adversarial	mut:case		LEAK	ао «гефест»
case	ORG	supply_0013__m2718_case	adversarial	mut:case		LEAK	ао «аргус»
case	ORG	supply_0013__m2718_case	adversarial	mut:case		LEAK	ао «северный ветер»
case	ORG	supply_0013__m2718_case	adversarial	mut:case		LEAK	ао «северный ветер»
case	ORG	works_0003__m2718_case	adversarial	mut:case		LEAK	ооо «смирнов»
case	ORG	works_0009__m2718_case	adversarial	mut:case		LEAK	ооо медведев
case	PER	agency_0003	adversarial	lowercase		LEAK	кузнецовой марией дмитриевной
case	PER	agency_0003__m2718_case	adversarial	lowercase		LEAK	кузнецовой марией дмитриевной
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	ВИНОГРАДОВ П. Ю.
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	КУЗНЕЦОВА МАРИЯ ДМИТРИЕВНА
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	виноградова павла юрьевича
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	кУзНеЦоВа мАрИя дМиТрИеВнА
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	кузнецова м. д.
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	кузнецовой марии дмитриевне
case	PER	agency_0003__m2718_case	adversarial	mut:case		LEAK	п. ю. виноградов
case	PER	agency_0004	adversarial	uppercase		LEAK	ПЕТРОВА ОЛЬГА ИВАНОВНА
case	PER	agency_0004__m1337_digit_spaces	adversarial	uppercase		LEAK	ПЕТРОВА ОЛЬГА ИВАНОВНА
case	PER	agency_0008__m2718_case	adversarial	mut:case		LEAK	КИСЕЛЁВ М. О.
case	PER	agency_0008__m2718_case	adversarial	mut:case		LEAK	ЛЕБЕДЕВ Е. А.
case	PER	agency_0008__m2718_case	adversarial	mut:case		LEAK	ЛЕБЕДЕВУ ЕГОРУ АЛЕКСЕЕВИЧУ
case	PER	agency_0008__m2718_case	adversarial	mut:case		LEAK	м.о.киселёв
